comeback_team,key_cleaned,url,aligned_key
Team_3rd,Key,,
TBR,2025-06-18_TBR,https://www.baseball-reference.com/boxes/TBA/TBA202506180.shtml,2025-06-18_TBR
TBR,2025-06-18_TBR,https://www.baseball-reference.com/boxes/TBA/TBA202506180.shtml,2025-06-18_TBR
TBR,2025-05-19_TBR,https://www.baseball-reference.com/boxes/TBA/TBA202505190.shtml,2025-05-19_TBR
TBR,2025-05-19_TBR,https://www.baseball-reference.com/boxes/TBA/TBA202505190.shtml,2025-05-19_TBR
LAA,2025-04-24_LAA,,
STL,2025-04-06_STL,,
TBR,2025-04-05_TBR,,
OAK,2024-09-14_OAK,,
CHC,2024-09-11_CHC,,
SDP,2024-09-04_SDP,https://www.baseball-reference.com/boxes/SDN/SDN202409040.shtml,2024-09-04_SDP
BAL,2024-08-31_BAL,,
CIN,2024-08-31_CIN,https://www.baseball-reference.com/boxes/CIN/CIN202408310.shtml,2024-08-31_CIN
LAD,2024-08-23_LAD,,
MIA,2024-08-08_MIA,https://www.baseball-reference.com/boxes/MIA/MIA202408080.shtml,2024-08-08_MIA
CLE,2024-07-28_CLE,,
BOS,2024-07-22_BOS,,
DET,2024-07-09_DET,https://www.baseball-reference.com/boxes/DET/DET202407090.shtml,2024-07-09_DET
LAD,2024-06-29_LAD,,
SFG,2024-06-27_SFG,https://www.baseball-reference.com/boxes/SFN/SFN202406270.shtml,2024-06-27_SFG
TEX,2024-06-26_TEX,,
MIN,2024-06-18_MIN,https://www.baseball-reference.com/boxes/MIN/MIN202406180.shtml,2024-06-18_MIN
MIN,2024-06-14_MIN,https://www.baseball-reference.com/boxes/MIN/MIN202406140.shtml,2024-06-14_MIN
COL,2024-06-07_COL,,
SDP,2024-06-06_SDP,https://www.baseball-reference.com/boxes/SDN/SDN202406060.shtml,2024-06-06_SDP
CIN,2024-05-17_CIN,,
WSN,2024-05-14_WSN,,
LAA,2024-05-14_LAA,,
MIA,2024-05-13_MIA,,
TOR,2024-05-11_TOR,https://www.baseball-reference.com/boxes/TOR/TOR202405110.shtml,2024-05-11_TOR
WSN,2024-05-05_WSN,https://www.baseball-reference.com/boxes/WAS/WAS202405050.shtml,2024-05-05_WSN
COL,2024-04-21_COL,,
LAD,2024-04-19_LAD,https://www.baseball-reference.com/boxes/LAN/LAN202404190.shtml,2024-04-19_LAD
ARI,2024-04-12_ARI,https://www.baseball-reference.com/boxes/ARI/ARI202404120.shtml,2024-04-12_ARI
CLE,2024-04-10_CLE,https://www.baseball-reference.com/boxes/CLE/CLE202404100.shtml,2024-04-10_CLE
LAA,2024-04-05_LAA,,
LAA,2024-04-01_LAA,,
BAL,2024-04-01_BAL,https://www.baseball-reference.com/boxes/BAL/BAL202404010.shtml,2024-04-01_BAL
NYY,2024-03-28_NYY,,
MIA,2023-09-27_MIA,,
PHI,2023-09-27_PHI,https://www.baseball-reference.com/boxes/PHI/PHI202309270.shtml,2023-09-27_PHI
MIL,2023-09-23_MIL,,
CHW,2023-09-12_CHW,,
KCR,2023-09-12_KCR,,
SDP,2023-09-11_SDP,,
SFG,2023-09-08_SFG,https://www.baseball-reference.com/boxes/SFN/SFN202309080.shtml,2023-09-08_SFG
HOU,2023-09-04_HOU,,
STL,2023-08-30_STL,https://www.baseball-reference.com/boxes/SLN/SLN202308300.shtml,2023-08-30_STL
LAD,2023-08-25_LAD,,
DET,2023-08-23_DET,https://www.baseball-reference.com/boxes/DET/DET202308230.shtml,2023-08-23_DET
TBR,2023-08-18_TBR,,
HOU,2023-08-15_HOU,,
MIL,2023-07-22_MIL,https://www.baseball-reference.com/boxes/MIL/MIL202307220.shtml,2023-07-22_MIL
PHI,2023-07-19_PHI,https://www.baseball-reference.com/boxes/PHI/PHI202307190.shtml,2023-07-19_PHI
CHC,2023-07-18_CHC,,
OAK,2023-07-15_OAK,https://www.baseball-reference.com/boxes/OAK/OAK202307150.shtml,2023-07-15_OAK
CIN,2023-07-08_CIN,,
TBR,2023-06-30_TBR,,
BOS,2023-06-13_BOS,https://www.baseball-reference.com/boxes/BOS/BOS202306130.shtml,2023-06-13_BOS
MIA,2023-06-04_MIA,https://www.baseball-reference.com/boxes/MIA/MIA202306040.shtml,2023-06-04_MIA
NYM,2023-06-04_NYM,https://www.baseball-reference.com/boxes/NYN/NYN202306040.shtml,2023-06-04_NYM
NYM,2023-05-27_NYM,,
LAD,2023-05-20_LAD,,
PHI,2023-05-17_PHI,,
CHC,2023-05-15_CHC,,
COL,2023-05-10_COL,,
NYY,2023-05-05_NYY,,
LAA,2023-04-24_LAA,,
MIL,2023-04-23_MIL,https://www.baseball-reference.com/boxes/MIL/MIL202304230.shtml,2023-04-23_MIL
OAK,2023-04-21_OAK,,
BAL,2023-04-16_BAL,,
OAK,2023-04-13_OAK,,
TOR,2023-04-09_TOR,,
NYY,2023-04-07_NYY,,
TOR,2022-09-28_TOR,https://www.baseball-reference.com/boxes/TOR/TOR202209280.shtml,2022-09-28_TOR
PIT,2022-09-18_PIT,,
CIN,2022-09-17_CIN,,
TOR,2022-09-13_TOR,,
LAA,2022-09-12_LAA,,
STL,2022-09-10_STL,,
HOU,2022-09-07_HOU,https://www.baseball-reference.com/boxes/HOU/HOU202209070.shtml,2022-09-07_HOU
NYY,2022-08-02_NYY,https://www.baseball-reference.com/boxes/NYA/NYA202208020.shtml,2022-08-02_NYY
ARI,2022-08-01_ARI,,
COL,2022-07-24_COL,,
MIN,2022-06-29_MIN,,
CHC,2022-06-26_CHC,,
PIT,2022-06-24_PIT,,
MIA,2022-06-21_MIA,https://www.baseball-reference.com/boxes/MIA/MIA202206210.shtml,2022-06-21_MIA
STL,2022-06-15_STL,https://www.baseball-reference.com/boxes/SLN/SLN202206150.shtml,2022-06-15_STL
CIN,2022-06-12_CIN,,
SDP,2022-06-11_SDP,,
NYY,2022-06-09_NYY,,
LAA,2022-06-02_LAA,,
COL,2022-05-28_COL,,
ARI,2022-05-22_ARI,,
BOS,2022-05-21_BOS,https://www.baseball-reference.com/boxes/BOS/BOS202205210.shtml,2022-05-21_BOS
CHW,2022-05-19_CHW,,
DET,2022-05-12_DET,https://www.baseball-reference.com/boxes/DET/DET202205120.shtml,2022-05-12_DET
NYY,2022-05-10_NYY,https://www.baseball-reference.com/boxes/NYA/NYA202205100.shtml,2022-05-10_NYY
TOR,2022-04-22_TOR,,
SFG,2022-04-19_SFG,,
NYM,2022-04-19_NYM,,
TOR,2022-04-16_TOR,https://www.baseball-reference.com/boxes/TOR/TOR202204160.shtml,2022-04-16_TOR
NYY,2022-04-13_NYY,https://www.baseball-reference.com/boxes/NYA/NYA202204130.shtml,2022-04-13_NYY
BOS,2022-04-12_BOS,,
CIN,2022-04-12_CIN,https://www.baseball-reference.com/boxes/CIN/CIN202204120.shtml,2022-04-12_CIN
LAD,2021-10-01_LAD,https://www.baseball-reference.com/boxes/LAN/LAN202110010.shtml,2021-10-01_LAD
DET,2021-09-30_DET,,
CLE,2021-09-29_CLE,,
MIA,2021-09-28_MIA,,
LAA,2021-09-24_LAA,,
SFG,2021-09-21_SFG,,
MIN,2021-09-14_MIN,,
ATL,2021-09-11_ATL,https://www.baseball-reference.com/boxes/ATL/ATL202109110.shtml,2021-09-11_ATL
TOR,2021-09-10_TOR,,
CIN,2021-09-06_CIN,,
WSN,2021-09-05_WSN,https://www.baseball-reference.com/boxes/WAS/WAS202109050.shtml,2021-09-05_WSN
KCR,2021-08-27_KCR,,
OAK,2021-08-26_OAK,https://www.baseball-reference.com/boxes/OAK/OAK202108260.shtml,2021-08-26_OAK
HOU,2021-08-19_HOU,,
ARI,2021-08-10_ARI,,
CLE,2021-08-08_CLE,https://www.baseball-reference.com/boxes/CLE/CLE202108080.shtml,2021-08-08_CLE
MIA,2021-08-04_MIA,https://www.baseball-reference.com/boxes/MIA/MIA202108040.shtml,2021-08-04_MIA
ARI,2021-07-31_ARI,https://www.baseball-reference.com/boxes/ARI/ARI202107310.shtml,2021-07-31_ARI
PHI,2021-07-29_PHI,,
NYM,2021-07-19_NYM,,
SDP,2021-07-08_SDP,https://www.baseball-reference.com/boxes/SDN/SDN202107080.shtml,2021-07-08_SDP
BAL,2021-07-04_BAL,,
TBR,2021-06-22_TBR,https://www.baseball-reference.com/boxes/TBA/TBA202106220.shtml,2021-06-22_TBR
CIN,2021-06-21_CIN,,
COL,2021-06-20_COL,https://www.baseball-reference.com/boxes/COL/COL202106200.shtml,2021-06-20_COL
ATL,2021-06-15_ATL,https://www.baseball-reference.com/boxes/ATL/ATL202106150.shtml,2021-06-15_ATL
COL,2021-06-15_COL,https://www.baseball-reference.com/boxes/COL/COL202106150.shtml,2021-06-15_COL
ARI,2021-06-11_ARI,https://www.baseball-reference.com/boxes/ARI/ARI202106110.shtml,2021-06-11_ARI
STL,2021-06-06_STL,https://www.baseball-reference.com/boxes/SLN/SLN202106060.shtml,2021-06-06_STL
CLE,2021-05-30_CLE,,
TEX,2021-04-23_TEX,,
ARI,2021-04-01_ARI,,
OAK,2020-09-26_OAK,,
PHI,2020-09-22_PHI,,
NYM,2020-09-17_NYM,,
LAA,2020-09-15_LAA,,
NYM,2020-09-09_NYM,https://www.baseball-reference.com/boxes/NYN/NYN202009090.shtml,2020-09-09_NYM
HOU,2020-09-08_HOU,,
BAL,2020-09-04_BAL,,
NYM,2020-09-03_NYM,https://www.baseball-reference.com/boxes/NYN/NYN202009030.shtml,2020-09-03_NYM
SDP,2020-08-27_SDP,,
SDP,2020-08-23_SDP,https://www.baseball-reference.com/boxes/SDN/SDN202008230.shtml,2020-08-23_SDP
TOR,2020-08-20_TOR,,
CHC,2020-08-19_CHC,,
MIL,2020-08-11_MIL,https://www.baseball-reference.com/boxes/MIL/MIL202008110.shtml,2020-08-11_MIL
TBR,2020-08-10_TBR,,
DET,2020-08-02_DET,,
DET,2020-07-29_DET,https://www.baseball-reference.com/boxes/DET/DET202007290.shtml,2020-07-29_DET
HOU,2019-09-26_HOU,,
SDP,2019-09-22_SDP,https://www.baseball-reference.com/boxes/SDN/SDN201909220.shtml,2019-09-22_SDP
BOS,2019-09-17_BOS,https://www.baseball-reference.com/boxes/BOS/BOS201909170.shtml,2019-09-17_BOS
CHW,2019-09-17_CHW,,
KCR,2019-09-16_KCR,,
NYM,2019-08-24_NYM,https://www.baseball-reference.com/boxes/NYN/NYN201908240.shtml,2019-08-24_NYM
TBR,2019-08-06_TBR,https://www.baseball-reference.com/boxes/TBA/TBA201908060.shtml,2019-08-06_TBR
KCR,2019-08-02_KCR,,
TEX,2019-07-30_TEX,https://www.baseball-reference.com/boxes/TEX/TEX201907300.shtml,2019-07-30_TEX
MIL,2019-07-21_MIL,,
HOU,2019-07-07_HOU,https://www.baseball-reference.com/boxes/HOU/HOU201907070.shtml,2019-07-07_HOU
PIT,2019-06-12_PIT,,
HOU,2019-06-07_HOU,https://www.baseball-reference.com/boxes/HOU/HOU201906070.shtml,2019-06-07_HOU
SEA,2019-06-01_SEA,https://www.baseball-reference.com/boxes/SEA/SEA201906010.shtml,2019-06-01_SEA
OAK,2019-05-28_OAK,https://www.baseball-reference.com/boxes/OAK/OAK201905280.shtml,2019-05-28_OAK
PIT,2019-05-27_PIT,,
KCR,2019-05-25_KCR,,
MIN,2019-05-21_MIN,,
SFG,2019-05-05_SFG,,
BAL,2019-05-01_BAL,,
LAD,2019-04-28_LAD,https://www.baseball-reference.com/boxes/LAN/LAN201904280.shtml,2019-04-28_LAD
CHW,2019-04-15_CHW,,
CIN,2019-04-14_CIN,https://www.baseball-reference.com/boxes/CIN/CIN201904140.shtml,2019-04-14_CIN
ARI,2019-04-13_ARI,https://www.baseball-reference.com/boxes/ARI/ARI201904130.shtml,2019-04-13_ARI
MIL,2019-04-09_MIL,,
CIN,2019-04-01_CIN,https://www.baseball-reference.com/boxes/CIN/CIN201904010.shtml,2019-04-01_CIN
MIN,2018-09-21_MIN,,
CLE,2018-09-10_CLE,,
CLE,2018-08-20_CLE,,
MIN,2018-08-09_MIN,,
SDP,2018-08-07_SDP,,
WSN,2018-07-26_WSN,,
LAA,2018-07-15_LAA,,
BOS,2018-07-07_BOS,,
HOU,2018-07-04_HOU,,
TOR,2018-06-30_TOR,https://www.baseball-reference.com/boxes/TOR/TOR201806300.shtml,2018-06-30_TOR
OAK,2018-06-23_OAK,,
CHW,2018-06-16_CHW,,
CHW,2018-06-15_CHW,,
LAA,2018-06-13_LAA,,
STL,2018-05-19_STL,https://www.baseball-reference.com/boxes/SLN/SLN201805190.shtml,2018-05-19_STL
TOR,2018-04-13_TOR,,
CIN,2018-04-07_CIN,,
TBR,2018-04-03_TBR,,
MIA,2017-10-01_MIA,https://www.baseball-reference.com/boxes/MIA/MIA201710010.shtml,2017-10-01_MIA
LAA,2017-09-24_LAA,,
WSN,2017-09-23_WSN,,
HOU,2017-09-09_HOU,,
OAK,2017-09-05_OAK,https://www.baseball-reference.com/boxes/OAK/OAK201709050.shtml,2017-09-05_OAK
LAD,2017-09-02_LAD,,
MIA,2017-08-24_MIA,,
PHI,2017-08-22_PHI,,
STL,2017-08-22_STL,https://www.baseball-reference.com/boxes/SLN/SLN201708220.shtml,2017-08-22_STL
TOR,2017-08-20_TOR,,
CHC,2017-08-17_CHC,,
DET,2017-08-13_DET,https://www.baseball-reference.com/boxes/DET/DET201708130.shtml,2017-08-13_DET
LAD,2017-08-05_LAD,,
SEA,2017-07-31_SEA,,
MIA,2017-07-28_MIA,https://www.baseball-reference.com/boxes/MIA/MIA201707280.shtml,2017-07-28_MIA
LAA,2017-07-25_LAA,,
KCR,2017-07-21_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201707210.shtml,2017-07-21_KCR
SDP,2017-07-21_SDP,,
BOS,2017-06-30_BOS,,
DET,2017-06-25_DET,,
NYY,2017-06-20_NYY,https://www.baseball-reference.com/boxes/NYA/NYA201706200.shtml,2017-06-20_NYY
MIL,2017-06-16_MIL,https://www.baseball-reference.com/boxes/MIL/MIL201706160.shtml,2017-06-16_MIL
DET,2017-06-13_DET,https://www.baseball-reference.com/boxes/DET/DET201706130.shtml,2017-06-13_DET
KCR,2017-05-26_KCR,,
STL,2016-10-01_STL,https://www.baseball-reference.com/boxes/SLN/SLN201610010.shtml,2016-10-01_STL
LAD,2016-09-18_LAD,,
SFG,2016-09-09_SFG,,
ATL,2016-09-02_ATL,,
OAK,2016-08-04_OAK,,
SFG,2016-08-02_SFG,,
SFG,2016-07-16_SFG,,
CHC,2016-07-08_CHC,,
CIN,2016-06-15_CIN,,
TEX,2016-06-15_TEX,,
PHI,2016-06-12_PHI,,
MIA,2016-06-08_MIA,,
TBR,2016-06-05_TBR,,
CLE,2016-05-29_CLE,https://www.baseball-reference.com/boxes/CLE/CLE201605290.shtml,2016-05-29_CLE
LAA,2016-05-20_LAA,,
TBR,2016-05-11_TBR,,
PHI,2016-05-06_PHI,,
BOS,2016-04-06_BOS,,
PIT,2015-10-02_PIT,https://www.baseball-reference.com/boxes/PIT/PIT201510020.shtml,2015-10-02_PIT
LAD,2015-09-26_LAD,,
BOS,2015-09-20_BOS,,
NYY,2015-09-12_NYY,,
STL,2015-08-28_STL,,
NYM,2015-08-27_NYM,,
BAL,2015-08-15_BAL,https://www.baseball-reference.com/boxes/BAL/BAL201508150.shtml,2015-08-15_BAL
TEX,2015-08-13_TEX,,
ARI,2015-08-04_ARI,,
COL,2015-07-30_COL,,
CHC,2015-07-22_CHC,,
HOU,2015-06-27_HOU,https://www.baseball-reference.com/boxes/HOU/HOU201506270.shtml,2015-06-27_HOU
STL,2015-06-23_STL,,
BOS,2015-06-13_BOS,https://www.baseball-reference.com/boxes/BOS/BOS201506130.shtml,2015-06-13_BOS
MIN,2015-06-05_MIN,https://www.baseball-reference.com/boxes/MIN/MIN201506050.shtml,2015-06-05_MIN
MIN,2015-06-04_MIN,,
TOR,2015-05-29_TOR,,
KCR,2015-05-08_KCR,,
OAK,2015-04-29_OAK,https://www.baseball-reference.com/boxes/OAK/OAK201504290.shtml,2015-04-29_OAK
LAD,2015-04-10_LAD,,
NYM,2015-04-10_NYM,,
HOU,2014-09-22_HOU,,
OAK,2014-08-28_OAK,,
DET,2014-08-19_DET,,
WSN,2014-07-22_WSN,,
ARI,2014-07-21_ARI,https://www.baseball-reference.com/boxes/ARI/ARI201407210.shtml,2014-07-21_ARI
CHW,2014-07-20_CHW,,
SDP,2014-07-18_SDP,https://www.baseball-reference.com/boxes/SDN/SDN201407180.shtml,2014-07-18_SDP
STL,2014-07-11_STL,,
NYY,2014-07-09_NYY,,
BAL,2014-07-02_BAL,https://www.baseball-reference.com/boxes/BAL/BAL201407020.shtml,2014-07-02_BAL
WSN,2014-07-02_WSN,https://www.baseball-reference.com/boxes/WAS/WAS201407020.shtml,2014-07-02_WSN
KCR,2014-06-29_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201406290.shtml,2014-06-29_KCR
MIL,2014-06-18_MIL,,
CHC,2014-06-16_CHC,,
BAL,2014-06-05_BAL,,
COL,2014-06-04_COL,,
OAK,2014-06-04_OAK,,
SEA,2014-06-03_SEA,,
TBR,2014-05-24_TBR,https://www.baseball-reference.com/boxes/TBA/TBA201405240.shtml,2014-05-24_TBR
PIT,2014-05-18_PIT,,
COL,2014-05-03_COL,https://www.baseball-reference.com/boxes/COL/COL201405030.shtml,2014-05-03_COL
DET,2014-04-29_DET,,
MIL,2014-04-29_MIL,,
MIA,2014-04-26_MIA,,
HOU,2014-04-25_HOU,https://www.baseball-reference.com/boxes/HOU/HOU201404250.shtml,2014-04-25_HOU
WSN,2014-04-11_WSN,,
STL,2013-09-19_STL,,
SDP,2013-08-23_SDP,https://www.baseball-reference.com/boxes/SDN/SDN201308230.shtml,2013-08-23_SDP
CHC,2013-08-21_CHC,,
WSN,2013-07-26_WSN,,
TBR,2013-07-19_TBR,,
ARI,2013-07-11_ARI,https://www.baseball-reference.com/boxes/ARI/ARI201307110.shtml,2013-07-11_ARI
BOS,2013-07-11_BOS,,
KCR,2013-07-04_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201307040.shtml,2013-07-04_KCR
BAL,2013-06-28_BAL,https://www.baseball-reference.com/boxes/BAL/BAL201306280.shtml,2013-06-28_BAL
KCR,2013-06-23_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201306230.shtml,2013-06-23_KCR
LAA,2013-06-20_LAA,,
TEX,2013-06-09_TEX,,
HOU,2013-05-15_HOU,,
CHW,2013-05-10_CHW,,
MIA,2013-05-10_MIA,,
LAD,2013-05-04_LAD,,
ARI,2013-04-29_ARI,https://www.baseball-reference.com/boxes/ARI/ARI201304290.shtml,2013-04-29_ARI
SFG,2013-04-09_SFG,https://www.baseball-reference.com/boxes/SFN/SFN201304090.shtml,2013-04-09_SFG
ARI,2013-04-03_ARI,https://www.baseball-reference.com/boxes/ARI/ARI201304030.shtml,2013-04-03_ARI
TBR,2013-04-03_TBR,https://www.baseball-reference.com/boxes/TBA/TBA201304030.shtml,2013-04-03_TBR
KCR,2012-09-20_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201209200.shtml,2012-09-20_KCR
TOR,2012-09-19_TOR,,
ATL,2012-09-15_ATL,https://www.baseball-reference.com/boxes/ATL/ATL201209150.shtml,2012-09-15_ATL
PHI,2012-09-09_PHI,,
CLE,2012-09-07_CLE,,
TEX,2012-09-06_TEX,,
MIA,2012-08-21_MIA,,
ATL,2012-08-20_ATL,,
CHW,2012-08-20_CHW,,
SFG,2012-08-18_SFG,,
TBR,2012-08-18_TBR,,
MIL,2012-08-15_MIL,,
CHW,2012-08-11_CHW,,
PHI,2012-08-08_PHI,https://www.baseball-reference.com/boxes/PHI/PHI201208080.shtml,2012-08-08_PHI
MIN,2012-08-03_MIN,,
LAA,2012-08-02_LAA,,
SDP,2012-07-31_SDP,,
DET,2012-07-03_DET,https://www.baseball-reference.com/boxes/DET/DET201207030.shtml,2012-07-03_DET
MIL,2012-07-02_MIL,https://www.baseball-reference.com/boxes/MIL/MIL201207020.shtml,2012-07-02_MIL
KCR,2012-06-24_KCR,https://www.baseball-reference.com/boxes/KCA/KCA201206240.shtml,2012-06-24_KCR
NYM,2012-06-24_NYM,https://www.baseball-reference.com/boxes/NYN/NYN201206240.shtml,2012-06-24_NYM
SFG,2012-06-05_SFG,,
ATL,2012-05-05_ATL,,
ATL,2012-05-04_ATL,,
SFG,2012-05-04_SFG,https://www.baseball-reference.com/boxes/SFN/SFN201205040.shtml,2012-05-04_SFG
DET,2012-04-26_DET,https://www.baseball-reference.com/boxes/DET/DET201204260.shtml,2012-04-26_DET
SDP,2012-04-15_SDP,,
ARI,2012-04-14_ARI,,
SDP,2012-04-07_SDP,https://www.baseball-reference.com/boxes/SDN/SDN201204070.shtml,2012-04-07_SDP
MIL,2011-09-26_MIL,https://www.baseball-reference.com/boxes/MIL/MIL201109260.shtml,2011-09-26_MIL
LAD,2011-09-06_LAD,,
NYM,2011-09-03_NYM,,
FLA,2011-08-24_FLA,,
CLE,2011-08-23_CLE,,
OAK,2011-08-14_OAK,https://www.baseball-reference.com/boxes/OAK/OAK201108140.shtml,2011-08-14_OAK
TEX,2011-08-10_TEX,https://www.baseball-reference.com/boxes/TEX/TEX201108100.shtml,2011-08-10_TEX
SDP,2011-08-08_SDP,,
SDP,2011-07-23_SDP,,
MIN,2011-07-18_MIN,,
TEX,2011-07-09_TEX,https://www.baseball-reference.com/boxes/TEX/TEX201107090.shtml,2011-07-09_TEX
ARI,2011-07-08_ARI,,
ARI,2011-06-24_ARI,,
CIN,2011-06-24_CIN,,
NYY,2011-06-19_NYY,,
KCR,2011-06-11_KCR,,
FLA,2011-06-05_FLA,,
NYM,2011-06-02_NYM,https://www.baseball-reference.com/boxes/NYN/NYN201106020.shtml,2011-06-02_NYM
CHW,2011-06-01_CHW,,
MIN,2011-05-30_MIN,,
DET,2011-05-29_DET,,
CIN,2011-05-28_CIN,,
CIN,2011-05-17_CIN,https://www.baseball-reference.com/boxes/CIN/CIN201105170.shtml,2011-05-17_CIN
BAL,2011-05-03_BAL,,
LAA,2011-05-01_LAA,,
